# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
abstain,(none),36.8 [17.6-62.5] (n=19)†,52.6 [25.0-77.3] (n=19)†,57.9 [30.0-81.8] (n=19)†,42.1 [19.0-62.5] (n=19)†
abstain,**All sources**,23.3 [19.3-27.2] (n=847),29.3 [25.4-33.1] (n=847),41.4 [37.3-45.4] (n=847),33.5 [29.9-37.1] (n=847)
abstain_balanced,Chart,14.0 [8.4-20.2] (n=178),12.9 [7.4-18.6] (n=178),30.9 [24.5-38.2] (n=178),25.8 [19.7-32.1] (n=178)
abstain_balanced,Figure,7.9 [4.5-12.3] (n=290),14.5 [10.1-18.9] (n=290),36.2 [29.7-42.3] (n=290),33.4 [27.0-39.6] (n=290)
abstain_balanced,Generalized-text (Layout),19.5 [11.3-28.2] (n=118),28.8 [19.7-37.7] (n=118),41.5 [32.8-50.9] (n=118),39.0 [29.4-49.0] (n=118)
abstain_balanced,Pure-text (Plain-text),33.7 [27.0-41.5] (n=291),39.5 [33.6-46.5] (n=291),47.4 [40.6-54.7] (n=291),36.4 [30.3-43.8] (n=291)
abstain_balanced,Table,26.3 [20.4-32.5] (n=217),37.8 [30.8-44.2] (n=217),37.3 [30.5-44.3] (n=217),30.0 [23.7-36.2] (n=217)
abstain_balanced,(none),42.1 [22.2-66.7] (n=19)†,57.9 [33.3-81.8] (n=19)†,63.2 [37.5-87.5] (n=19)†,42.1 [19.0-62.5] (n=19)†
abstain_balanced,**All sources**,23.8 [19.7-27.9] (n=847),30.0 [26.2-33.8] (n=847),42.6 [38.5-46.6] (n=847),35.2 [31.5-39.0] (n=847)
cot,Chart,21.3 [14.8-27.6] (n=178),16.9 [11.4-22.9] (n=178),45.5 [37.7-53.9] (n=178),44.4 [35.9-52.7] (n=178)
cot,Figure,11.7 [7.7-16.3] (n=290),18.3 [13.8-23.3] (n=290),45.2 [38.1-51.6] (n=290),44.8 [38.5-51.1] (n=290)
cot,Generalized-text (Layout),24.6 [16.0-33.8] (n=118),37.3 [27.2-47.1] (n=118),50.0 [39.7-60.4] (n=118),55.9 [46.2-65.1] (n=118)
cot,Pure-text (Plain-text),34.7 [28.3-42.0] (n=291),45.0 [38.5-52.7] (n=291),54.6 [48.1-61.8] (n=291),48.1 [41.4-54.7] (n=291)
cot,Table,40.6 [33.5-47.2] (n=217),51.2 [44.6-57.7] (n=217),55.3 [48.6-61.8] (n=217),47.5 [40.1-55.1] (n=217)
cot,(none),42.1 [21.1-62.5] (n=19)†,57.9 [35.3-81.2] (n=19)†,63.2 [41.2-85.0] (n=19)†,52.6 [30.0-75.0] (n=19)†
cot,**All sources**,29.5 [25.2-33.7] (n=847),36.0 [32.5-39.6] (n=847),53.1 [49.4-56.9] (n=847),49.7 [45.5-53.8] (n=847)
extract_cot,Chart,13.5 [8.3-19.1] (n=178),17.4 [11.4-23.9] (n=178),39.3 [31.2-48.7] (n=178),38.8 [30.1-48.3] (n=178)
extract_cot,Figure,10.7 [7.0-15.3] (n=290),21.0 [16.2-26.0] (n=290),44.1 [37.4-49.8] (n=290),41.7 [35.3-47.5] (n=290)
extract_cot,Generalized-text (Layout),20.3 [12.6-29.3] (n=118),37.3 [27.8-47.4] (n=118),50.8 [41.7-59.7] (n=118),52.5 [44.1-61.1] (n=118)
extract_cot,Pure-text (Plain-text),37.5 [30.4-45.2] (n=291),45.0 [38.6-52.1] (n=291),51.7 [45.2-58.6] (n=290),44.3 [37.8-52.1] (n=291)
extract_cot,Table,41.5 [34.0-48.5] (n=217),49.8 [43.6-55.6] (n=217),52.5 [46.9-58.8] (n=217),39.6 [33.0-47.3] (n=217)
extract_cot,(none),31.6 [12.5-50.0] (n=19)†,52.6 [26.3-75.0] (n=19)†,57.9 [31.6-83.3] (n=19)†,42.1 [19.0-62.5] (n=19)†
extract_cot,**All sources**,28.0 [23.6-32.3] (n=847),36.5 [32.9-40.2] (n=847),50.2 [46.4-54.1] (n=846),44.4 [40.4-48.5] (n=847)
n (per col),-,-,-,-,-
