# swept,worked example × the cells the appendix prints it under
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"one hand-picked question per row, not an aggregate; this table exists so the appendix's quoted verdicts are reproducible, not to be read as a result"
# page_selection,oracle
# prompt_mode,none
# sources,"each roster cell names its own run_tag; the builder loads them, so the plan's own load is unused"
# staleness,a blank verdict means the cell no longer resolves and the appendix text is out of date
# retrieval depth rows,PROVISIONAL (partial G2 pool)
example,mechanism,question_id,question,gold,evidence_sources,gold_pages,cell,run_tag,condition,prompt_mode,rung,model_spec,verdict,pages_fed,answer
S4,distractor exposure,mmlongbench:000041,"On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer",300 million,Chart,25,+1 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=1,none,TLV,qwen3vl-8b-local,wrong,25 26,350
S4,distractor exposure,mmlongbench:000041,"On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer",300 million,Chart,25,+2 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=2,none,TLV,qwen3vl-8b-local,wrong,25 26 27,350
S4,distractor exposure,mmlongbench:000041,"On the chart showing average exit cap, there is one point that US, Europe, and China have the same average exit cap value. What is this value in USD million? Give me an integer",300 million,Chart,25,+3 distractor,g5b-gold1,pageset:r=colqwen3:g=all:d=3,none,TLV,qwen3vl-8b-local,right,5 25 26 27,300
N1,evidence integration,mmlongbench:000183,"According to this paper, What's the GPT-4V's performance difference between CS subject and math subject on MMMU datasets?",12.1%,Table,15 18,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,wrong,15 18,"Based on the provided document evidence, the performance difference between the CS (Computer Science) subject and Math subject for GPT-4V on the MMMU dataset is as follows: 1. **GPT-4V Performance:** * **Computer Science (CS):** The performance score for GPT-4V on the Computer Science subject (under ""Tech & Engineering"" in Table 9) is **41.0** (Test Overall). * **Math:** The performance score for GPT-4V on the Math subject (under ""Science"" in Table 6) is **45.0** (Test Overall). 2. **Performance Difference:** * The difference is calculated by subtracting the CS score from the Math score: 45.0 ..."
N2,evidence integration,mmlongbench:000443,How many years after The Chapel Bridge was The Acropolis Museum completed? Return me an integer.,676,Table,18 19,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,wrong,18 19,10
N2,evidence integration,mmlongbench:000443,How many years after The Chapel Bridge was The Acropolis Museum completed? Return me an integer.,676,Table,18 19,cot,g4-faithfulness-full,oracle,cot,TLV,qwen3vl-8b-local,right,18 19,"Step 1: Identify the completion date of The Acropolis Museum. From the document, the Ground-truth (M0) for the question ""What date did it open to the public?"" states: ""The Acropolis Museum was inaugurated on June 20, 2009"". Step 2: Identify the construction date of The Chapel Bridge. From the document, the Ground-truth (M0) for the question ""What is the age of the building now?"" states: ""The Chapel Bridge is over 700 years old having been built in 1333"". Step 3: Calculate the number of years between the completion of The Acropolis Museum and the construction of The Chapel Bridge. The Acropolis..."
N5,evidence integration,mmlongbench:000820,"According to the survey, how many US adults think it's acceptable for the criminal justice system to use automated criminal risk scores?",1929,"Chart,Pure-text (Plain-text)",14 28,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,wrong,14 28,"According to the survey, **42% of U.S. adults** think it is acceptable for the criminal justice system to use automated criminal risk scores. This is explicitly stated in the document's chart titled ""Concerns over criminal risk scores focus on lack of individual focus, people’s ability to change,"" which shows a bar labeled ""Acceptable"" at 42%. The survey was conducted by Pew Research Center in May-June 2018."
N5,evidence integration,mmlongbench:000820,"According to the survey, how many US adults think it's acceptable for the criminal justice system to use automated criminal risk scores?",1929,"Chart,Pure-text (Plain-text)",14 28,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,wrong,14 28,"According to the survey, 42% of U.S. adults think it is acceptable for the criminal justice system to use automated criminal risk scores."
N5,evidence integration,mmlongbench:000820,"According to the survey, how many US adults think it's acceptable for the criminal justice system to use automated criminal risk scores?",1929,"Chart,Pure-text (Plain-text)",14 28,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,wrong,14 28,"The document does not provide a specific number of U.S. adults who think it’s acceptable for the criminal justice system to use automated criminal risk scores. It includes verbatim quotes from survey respondents expressing support for such tools, but it does not state a total count or percentage of respondents who hold this view. The survey data (from May 29–June 11, 2018, among 4,594 respondents) is described in detail, including methodology and weighting, but the document does not report the exact percentage or number of respondents who answered affirmatively to the question about acceptabil..."
N3,response calibration,mmlongbench:000047,Which Youtube does the slides use to show the consequce of having a weak data leadership?,Not answerable,,,none,g3-faithfulness-full,retrieved_text_k3,none,TLV,qwen3vl-8b-local,wrong,0 1 2,"The slides use a YouTube clip from the TV show *Breaking Bad* to illustrate the consequence of having weak data leadership — specifically, the potential for organizations to make poor, uncontrolled decisions that lead to financial ruin or loss of control, as symbolized by the character Walter White hoarding money in a chaotic, unsustainable manner."
N3,response calibration,mmlongbench:000047,Which Youtube does the slides use to show the consequce of having a weak data leadership?,Not answerable,,,grounded,g3-faithfulness-full,retrieved_text_k3,grounded,TLV,qwen3vl-8b-local,wrong,0 1 2,"The slides use a YouTube clip featuring Walter White from ""Breaking Bad"" to show the consequence of having a weak data leadership."
N3,response calibration,mmlongbench:000047,Which Youtube does the slides use to show the consequce of having a weak data leadership?,Not answerable,,,abstain,g3-faithfulness-full,retrieved_text_k3,abstain,TLV,qwen3vl-8b-local,right,0 1 2,Not answerable
N4,response calibration,mmlongbench:000236,"Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.",9,Figure,8,none,g4-faithfulness-full,oracle,none,TLV,qwen3vl-8b-local,right,8,9
N4,response calibration,mmlongbench:000236,"Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.",9,Figure,8,abstain,g4-faithfulness-full,oracle,abstain,TLV,qwen3vl-8b-local,abstain,8,Not answerable
N4,response calibration,mmlongbench:000236,"Among all the pictures, in which page the picture contains the most number of people? Give me the page no. as an integer.",9,Figure,8,abstain_bal.,g4-faithfulness-full,oracle,abstain_balanced,TLV,qwen3vl-8b-local,right,8,9
M1,pair text with vision,mmlongbench:000033,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,63,"Chart,Table",5,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,abstain,5,"The document does not provide any evidence or data regarding median exit valuations in the USA or Europe. Therefore, it is not possible to determine how many more millions of dollars the median exit valuation in the USA was compared to Europe at the time of the presentation. **Answer: Not enough information provided.**"
M1,pair text with vision,mmlongbench:000033,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,63,"Chart,Table",5,TL,g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,5,"The document states that the **median exit valuation in the USA** was **$173M** (as shown in the chart for Europe, but the context implies this is the *European* median exit valuation — we must infer the USA value from the question and the comparison). However, the document does **not explicitly state the median exit valuation for the USA**. It only provides the European median exit valuation as **$173M** and notes that “average exit values are ca. 25% smaller” in Europe — implying that the USA average is higher. But the question asks: **“How many more millions of dollars was the median exit v..."
M1,pair text with vision,mmlongbench:000033,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,63,"Chart,Table",5,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,right,5,"Based on the provided document, the median exit valuation in the USA was $236 million, while in Europe it was $173 million. To find the difference: $236M - $173M = $63M Therefore, the median exit valuation in the USA was **$63 million** more than in Europe at the time of the presentation."
M1,pair text with vision,mmlongbench:000033,How many more millions of dollars was the median exit valuation in the USA compared to Europe at the time of the presentation?,63,"Chart,Table",5,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,5,"Based on the document evidence provided, the median exit valuation in the USA was **$63 million** more than in Europe. Here is the step-by-step calculation: 1. **Identify the median exit valuations:** * **USA:** $236M (from the table) * **Europe:** $173M (from the table) 2. **Calculate the difference:** * $236M - $173M = $63M Therefore, the median exit valuation in the USA was $63 million more than in Europe at the time of the presentation."
M2,pair text with vision,mmlongbench:000230,Who is the commanding officer in the first figure on the second page?,Capt. John W. Sanders,"Figure,Pure-text (Plain-text)",1,T,g1-representation-full,oracle,none,T,qwen3vl-8b-local,wrong,1,"The commanding officer in the first figure on the second page is **Cmdr. Cindy Tamminga of NMRC**. **Reasoning:** - The document is from *NMR&D News, Volume IV, Issue 12*, and the second page contains the “NMRC Commanding Officer’s Message” (first section) and “NSMRL Commanding Officer’s Message” (second section). - The first figure on the second page is not explicitly described in text, but the context implies that the first figure refers to the first message — the NMRC Commanding Officer’s Message. - Within that message, the text says: *“Let’s remember those who are currently standing the wa..."
M2,pair text with vision,mmlongbench:000230,Who is the commanding officer in the first figure on the second page?,Capt. John W. Sanders,"Figure,Pure-text (Plain-text)",1,TL,g1-representation-full,oracle,none,TL,qwen3vl-8b-local,wrong,1,"The commanding officer in the first figure on the second page is **Cmdr. Cindy Tamminga of NMRC**. ### Reasoning: - The document contains two main sections: “NMRC Commanding Officer’s Message” and “NSMRL Commanding Officer’s Message.” - The first figure (image) on the **second page** is located **after** the NMRC message and **before** the NSMRL message. - The text immediately preceding the first figure (image) on the second page says: > “Let’s remember those who are currently standing the watch so we can enjoy this time with our families and friends, especially **Cmdr. Cindy Tamminga of NMRC*..."
M2,pair text with vision,mmlongbench:000230,Who is the commanding officer in the first figure on the second page?,Capt. John W. Sanders,"Figure,Pure-text (Plain-text)",1,V,g1-representation-full,oracle,none,V,qwen3vl-8b-local,wrong,1,"Based on the provided document, the commanding officer in the first figure on the second page is **Steven M. Wechsler, CAPT, MC, USN**. Here's the reasoning: 1. The document is divided into two main sections, each with a ""Commanding Officer's Message"". 2. The first section (top) is titled ""NMRC Commanding Officer's Message"" and features a photo of two officers. The message is signed by ""John W. Sanders III, CAPT, MC, USN"". 3. The second section (bottom) is titled ""NSMRL Commanding Officer's Message"" and features a single photo of one officer. The message is signed by ""Steven M. Wechsler, CAPT,..."
M2,pair text with vision,mmlongbench:000230,Who is the commanding officer in the first figure on the second page?,Capt. John W. Sanders,"Figure,Pure-text (Plain-text)",1,TLV,g1-representation-full,oracle,none,TLV,qwen3vl-8b-local,right,1,"Based on the document, the first figure on the second page is the photograph accompanying the ""NMRC Commanding Officer's Message"". The message is signed by **John W. Sanders III, CAPT, MC, USN**. Therefore, the commanding officer in the first figure on the second page is **John W. Sanders III**."
M3,favour recall,mmlongbench:000403,"Which chapters are included in the slide? Your answer should be formatted as a list like ['Chapter 1', 'Chapter 3'].","['Chapter 8', 'Chapter 9', 'Chapter 10']",Generalized-text (Layout),0 27 47,k=1,g2-retrieval-full,retrieved_vision_k1,none,TLV,qwen3vl-8b-local,wrong,27,['Chapter 9']
M3,favour recall,mmlongbench:000403,"Which chapters are included in the slide? Your answer should be formatted as a list like ['Chapter 1', 'Chapter 3'].","['Chapter 8', 'Chapter 9', 'Chapter 10']",Generalized-text (Layout),0 27 47,k=3,g2-retrieval-full,retrieved_vision_k3,none,TLV,qwen3vl-8b-local,right,0 27 47,"['Chapter 8', 'Chapter 9', 'Chapter 10']"
M3,favour recall,mmlongbench:000403,"Which chapters are included in the slide? Your answer should be formatted as a list like ['Chapter 1', 'Chapter 3'].","['Chapter 8', 'Chapter 9', 'Chapter 10']",Generalized-text (Layout),0 27 47,k=5,g2-retrieval-full,retrieved_vision_k5,none,TLV,qwen3vl-8b-local,right,0 6 18 27 47,"['Chapter 8', 'Chapter 9', 'Chapter 10']"
