# swept,reasoner_spec (size + family) × evidence source × rung
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# note,8b bf16 baseline from the representation run
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# reading,"whether the InternVL3 deficit sits on the image step (Chart, Figure) or spreads evenly over the sources"
evidence_source,rung,internvl3-8b-local,qwen3vl-2b-local,qwen3vl-4b-local,qwen3vl-8b-local,Δ family (InternVL3 − Qwen 8B),n
Figure,TLV,30.1 [24.2-35.9] (n=279),35.2 [29.9-40.7] (n=290),43.1 [35.9-49.4] (n=290),44.5 [37.7-51.4] (n=290),-14.4,1149
Figure,V,29.3 [23.7-35.2] (n=290),34.1 [28.1-40.0] (n=290),43.8 [36.2-51.0] (n=290),40.3 [33.9-46.5] (n=290),-11.0,1160
Generalized-text (Layout),T,18.6 [10.6-27.3] (n=118),22.9 [14.8-31.2] (n=118),27.1 [18.0-36.1] (n=118),28.0 [17.9-38.2] (n=118),-9.3,472
Generalized-text (Layout),TL,29.3 [20.2-39.1] (n=116),29.7 [21.1-38.5] (n=118),34.7 [25.6-43.9] (n=118),38.1 [28.9-48.0] (n=118),-8.8,470
Generalized-text (Layout),TLV,45.8 [34.7-56.6] (n=107),36.4 [26.7-46.2] (n=118),46.6 [37.7-55.9] (n=118),50.8 [41.8-59.0] (n=118),-5.1,461
Generalized-text (Layout),V,33.1 [23.8-43.5] (n=118),36.4 [29.1-44.4] (n=118),50.0 [38.9-60.3] (n=118),48.3 [39.8-57.0] (n=118),-15.3,472
Pure-text (Plain-text),T,27.0 [21.1-34.0] (n=289),32.6 [26.0-40.1] (n=291),38.8 [31.3-46.7] (n=291),39.5 [31.6-48.1] (n=291),-12.5,1162
Pure-text (Plain-text),TL,34.0 [27.7-40.4] (n=288),41.6 [35.3-48.1] (n=291),48.1 [41.4-55.8] (n=291),47.4 [40.9-54.9] (n=291),-13.4,1161
Pure-text (Plain-text),TLV,37.6 [30.8-45.1] (n=279),40.9 [34.5-47.6] (n=291),51.9 [45.3-59.6] (n=291),55.0 [47.9-62.5] (n=291),-17.3,1152
Pure-text (Plain-text),V,25.2 [19.7-31.1] (n=290),29.2 [23.4-35.4] (n=291),39.5 [32.9-46.2] (n=291),44.3 [37.9-51.2] (n=291),-19.2,1163
Table,T,14.7 [9.3-20.5] (n=217),25.3 [19.7-31.0] (n=217),39.6 [30.5-47.7] (n=217),41.0 [33.5-48.0] (n=217),-26.3,868
Table,TL,23.1 [16.9-30.0] (n=216),34.6 [27.7-41.2] (n=217),51.2 [43.8-57.9] (n=217),49.3 [41.1-56.7] (n=217),-26.2,867
Table,TLV,23.7 [17.3-31.0] (n=207),37.8 [31.8-43.8] (n=217),48.8 [41.2-56.2] (n=217),50.2 [42.8-56.8] (n=217),-26.6,858
Table,V,11.5 [6.9-16.9] (n=217),26.7 [20.4-33.3] (n=217),35.9 [29.7-43.1] (n=217),37.3 [31.0-44.3] (n=217),-25.8,868
**All sources**,**T**,**19.3 [15.9-22.8] (n=845)**,**24.7 [20.9-28.4] (n=847)**,**32.3 [27.5-37.1] (n=847)**,**31.9 [27.1-36.7] (n=847)**,**-12.6**,**3386**
**All sources**,**TL**,**25.3 [22.0-28.7] (n=842)**,**31.9 [28.5-35.2] (n=847)**,**38.6 [34.4-42.7] (n=847)**,**38.4 [34.4-42.5] (n=847)**,**-13.1**,**3383**
**All sources**,**TLV**,**32.6 [28.6-36.9] (n=807)**,**38.3 [34.7-41.7] (n=847)**,**50.4 [46.6-54.1] (n=847)**,**52.4 [48.3-56.4] (n=847)**,**-19.8**,**3348**
**All sources**,**V**,**24.1 [20.2-28.4] (n=845)**,**31.9 [28.3-35.6] (n=847)**,**42.4 [38.2-46.9] (n=847)**,**45.5 [41.6-49.6] (n=847)**,**-21.3**,**3386**
n (per col),-,3339,3388,3388,3388,-,-
