# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × rung
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"oracle cells loaded from g1-representation-full by the builder and paired per (question, rung)"
# pairing,"within-question, oracle and perturbed page set both status==ok at that rung"
# deep distractor counts,"the +4/+5/+6 columns come from g5c (TLV, colqwen3 only) and lose cells to OOM: paired n falls 474 -> 313 -> 256 -> 196 at gold 1. Attrition is nested, so a high-k cell is the surviving LIGHTEST questions and the slope across columns reads easier than it is. Compare down a column, not across one; the matched-set slope is selection_distractor_matched"
block,transition,ranker,rung,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
robustness (gold 1),oracle -> +1 distractor,colqwen3,V,9.5 (45),9.5 (45),46.2 (219),34.8 (165),474
robustness (gold 1),oracle -> +1 distractor,colqwen3,**All rungs**,7.8 (147),6.5 (124),44.2 (838),41.5 (787),1896
robustness (gold 1),oracle -> +2 distractors,bm25,T,7.2 (34),3.8 (18),33.8 (160),55.3 (262),474
robustness (gold 1),oracle -> +2 distractors,bm25,TL,6.3 (30),5.3 (25),39.9 (189),48.5 (230),474
robustness (gold 1),oracle -> +2 distractors,bm25,TLV,6.8 (32),6.5 (31),58.0 (275),28.7 (136),474
robustness (gold 1),oracle -> +2 distractors,bm25,V,7.2 (34),9.3 (44),46.4 (220),37.1 (176),474
robustness (gold 1),oracle -> +2 distractors,bm25,**All rungs**,6.9 (130),6.2 (118),44.5 (844),42.4 (804),1896
robustness (gold 1),oracle -> +2 distractors,colqwen3,T,5.5 (26),4.2 (20),33.3 (158),57.0 (270),474
robustness (gold 1),oracle -> +2 distractors,colqwen3,TL,7.8 (37),5.1 (24),40.1 (190),47.0 (223),474
robustness (gold 1),oracle -> +2 distractors,colqwen3,TLV,8.0 (38),8.2 (39),56.3 (267),27.4 (130),474
robustness (gold 1),oracle -> +2 distractors,colqwen3,V,11.2 (53),10.8 (51),44.9 (213),33.1 (157),474
robustness (gold 1),oracle -> +2 distractors,colqwen3,**All rungs**,8.1 (154),7.1 (134),43.7 (828),41.1 (780),1896
robustness (gold 1),oracle -> +3 distractors,bm25,T,7.2 (34),3.8 (18),33.8 (160),55.3 (262),474
robustness (gold 1),oracle -> +3 distractors,bm25,TL,6.8 (32),4.9 (23),40.3 (191),48.1 (228),474
robustness (gold 1),oracle -> +3 distractors,bm25,TLV,7.8 (37),7.4 (35),57.2 (271),27.6 (131),474
robustness (gold 1),oracle -> +3 distractors,bm25,V,9.3 (44),10.5 (50),45.1 (214),35.0 (166),474
robustness (gold 1),oracle -> +3 distractors,bm25,**All rungs**,7.8 (147),6.6 (126),44.1 (836),41.5 (787),1896
robustness (gold 1),oracle -> +3 distractors,colqwen3,T,8.2 (39),4.9 (23),32.7 (155),54.2 (257),474
robustness (gold 1),oracle -> +3 distractors,colqwen3,TL,8.2 (39),6.3 (30),38.8 (184),46.6 (221),474
robustness (gold 1),oracle -> +3 distractors,colqwen3,TLV,8.2 (39),9.7 (46),54.9 (260),27.2 (129),474
robustness (gold 1),oracle -> +3 distractors,colqwen3,V,10.5 (50),11.2 (53),44.5 (211),33.8 (160),474
robustness (gold 1),oracle -> +3 distractors,colqwen3,**All rungs**,8.8 (167),8.0 (152),42.7 (810),40.5 (767),1896
robustness (gold 1),oracle -> +4 distractors,colqwen3,TLV,6.7 (21),9.6 (30),56.5 (177),27.2 (85),313
robustness (gold 1),oracle -> +4 distractors,colqwen3,**All rungs**,6.7 (21),9.6 (30),56.5 (177),27.2 (85),313
robustness (gold 1),oracle -> +5 distractors,colqwen3,TLV,7.0 (18),10.2 (26),56.2 (144),26.6 (68),256
robustness (gold 1),oracle -> +5 distractors,colqwen3,**All rungs**,7.0 (18),10.2 (26),56.2 (144),26.6 (68),256
robustness (gold 1),oracle -> +6 distractors,colqwen3,TLV,8.2 (16),12.2 (24),57.1 (112),22.4 (44),196
robustness (gold 1),oracle -> +6 distractors,colqwen3,**All rungs**,8.2 (16),12.2 (24),57.1 (112),22.4 (44),196
robustness (gold 2),oracle -> +1 distractor,bm25,T,7.1 (17),7.5 (18),22.0 (53),63.5 (153),241
robustness (gold 2),oracle -> +1 distractor,bm25,TL,7.1 (17),6.2 (15),27.8 (67),58.9 (142),241
robustness (gold 2),oracle -> +1 distractor,bm25,TLV,6.6 (16),6.2 (15),32.4 (78),54.8 (132),241
robustness (gold 2),oracle -> +1 distractor,bm25,V,6.6 (16),7.9 (19),27.4 (66),58.1 (140),241
robustness (gold 2),oracle -> +1 distractor,bm25,**All rungs**,6.8 (66),7.0 (67),27.4 (264),58.8 (567),964
robustness (gold 2),oracle -> +1 distractor,colqwen3,T,4.1 (10),7.9 (19),21.6 (52),66.4 (160),241
robustness (gold 2),oracle -> +1 distractor,colqwen3,TL,7.1 (17),7.1 (17),27.0 (65),58.9 (142),241
robustness (gold 2),oracle -> +1 distractor,colqwen3,TLV,7.5 (18),7.5 (18),31.1 (75),53.9 (130),241
robustness (gold 2),oracle -> +1 distractor,colqwen3,V,7.9 (19),8.7 (21),26.6 (64),56.8 (137),241
robustness (gold 2),oracle -> +1 distractor,colqwen3,**All rungs**,6.6 (64),7.8 (75),26.6 (256),59.0 (569),964
robustness (gold 2),oracle -> +2 distractors,bm25,T,6.6 (16),9.1 (22),20.3 (49),63.9 (154),241
robustness (gold 2),oracle -> +2 distractors,bm25,TL,5.4 (13),6.6 (16),27.4 (66),60.6 (146),241
robustness (gold 2),oracle -> +2 distractors,bm25,TLV,7.9 (19),6.6 (16),32.0 (77),53.5 (129),241
robustness (gold 2),oracle -> +2 distractors,bm25,V,6.6 (16),7.5 (18),27.8 (67),58.1 (140),241
robustness (gold 2),oracle -> +2 distractors,bm25,**All rungs**,6.6 (64),7.5 (72),26.9 (259),59.0 (569),964
robustness (gold 2),oracle -> +2 distractors,colqwen3,T,6.6 (16),10.8 (26),18.7 (45),63.9 (154),241
robustness (gold 2),oracle -> +2 distractors,colqwen3,TL,7.9 (19),8.3 (20),25.7 (62),58.1 (140),241
robustness (gold 2),oracle -> +2 distractors,colqwen3,TLV,6.2 (15),9.1 (22),29.5 (71),55.2 (133),241
robustness (gold 2),oracle -> +2 distractors,colqwen3,V,7.1 (17),10.0 (24),25.3 (61),57.7 (139),241
robustness (gold 2),oracle -> +2 distractors,colqwen3,**All rungs**,7.0 (67),9.5 (92),24.8 (239),58.7 (566),964
robustness (gold 2),oracle -> +3 distractors,bm25,T,6.2 (15),7.5 (18),22.0 (53),64.3 (155),241
robustness (gold 2),oracle -> +3 distractors,bm25,TL,7.5 (18),6.6 (16),27.4 (66),58.5 (141),241
robustness (gold 2),oracle -> +3 distractors,bm25,TLV,9.5 (23),7.9 (19),30.7 (74),51.9 (125),241
robustness (gold 2),oracle -> +3 distractors,bm25,V,7.9 (19),9.1 (22),26.1 (63),56.8 (137),241
robustness (gold 2),oracle -> +3 distractors,bm25,**All rungs**,7.8 (75),7.8 (75),26.6 (256),57.9 (558),964
robustness (gold 2),oracle -> +3 distractors,colqwen3,T,3.3 (8),11.2 (27),18.3 (44),67.2 (162),241
robustness (gold 2),oracle -> +3 distractors,colqwen3,TL,5.8 (14),11.6 (28),22.4 (54),60.2 (145),241
robustness (gold 2),oracle -> +3 distractors,colqwen3,TLV,6.2 (15),11.2 (27),27.4 (66),55.2 (133),241
robustness (gold 2),oracle -> +3 distractors,colqwen3,V,7.5 (18),9.5 (23),25.7 (62),57.3 (138),241
robustness (gold 2),oracle -> +3 distractors,colqwen3,**All rungs**,5.7 (55),10.9 (105),23.4 (226),60.0 (578),964
robustness (gold 2),oracle -> +4 distractors,colqwen3,TLV,12.0 (14),12.0 (14),32.5 (38),43.6 (51),117
robustness (gold 2),oracle -> +4 distractors,colqwen3,**All rungs**,12.0 (14),12.0 (14),32.5 (38),43.6 (51),117
robustness (gold 2),oracle -> +5 distractors,colqwen3,TLV,8.4 (7),10.8 (9),37.3 (31),43.4 (36),83
robustness (gold 2),oracle -> +5 distractors,colqwen3,**All rungs**,8.4 (7),10.8 (9),37.3 (31),43.4 (36),83
robustness (gold 3),oracle -> +1 distractor,bm25,T,2.5 (1),5.0 (2),20.0 (8),72.5 (29),40
robustness (gold 3),oracle -> +1 distractor,bm25,TL,10.0 (4),5.0 (2),25.0 (10),60.0 (24),40
robustness (gold 3),oracle -> +1 distractor,bm25,TLV,5.0 (2),2.5 (1),45.0 (18),47.5 (19),40
robustness (gold 3),oracle -> +1 distractor,bm25,V,7.5 (3),12.5 (5),30.0 (12),50.0 (20),40
robustness (gold 3),oracle -> +1 distractor,bm25,**All rungs**,6.2 (10),6.2 (10),30.0 (48),57.5 (92),160
robustness (gold 3),oracle -> +1 distractor,colqwen3,T,2.5 (1),5.0 (2),20.0 (8),72.5 (29),40
robustness (gold 3),oracle -> +1 distractor,colqwen3,TL,12.5 (5),2.5 (1),27.5 (11),57.5 (23),40
robustness (gold 3),oracle -> +1 distractor,colqwen3,TLV,7.5 (3),10.0 (4),37.5 (15),45.0 (18),40
robustness (gold 3),oracle -> +1 distractor,colqwen3,V,10.0 (4),12.5 (5),30.0 (12),47.5 (19),40
robustness (gold 3),oracle -> +1 distractor,colqwen3,**All rungs**,8.1 (13),7.5 (12),28.7 (46),55.6 (89),160
robustness (gold 3),oracle -> +2 distractors,bm25,T,2.5 (1),10.0 (4),15.0 (6),72.5 (29),40
robustness (gold 3),oracle -> +2 distractors,bm25,TL,12.5 (5),5.0 (2),25.0 (10),57.5 (23),40
robustness (gold 3),oracle -> +2 distractors,bm25,TLV,12.5 (5),7.5 (3),40.0 (16),40.0 (16),40
robustness (gold 3),oracle -> +2 distractors,bm25,V,12.5 (5),15.0 (6),27.5 (11),45.0 (18),40
robustness (gold 3),oracle -> +2 distractors,bm25,**All rungs**,10.0 (16),9.4 (15),26.9 (43),53.8 (86),160
robustness (gold 3),oracle -> +2 distractors,colqwen3,T,5.0 (2),2.5 (1),22.5 (9),70.0 (28),40
robustness (gold 3),oracle -> +2 distractors,colqwen3,TL,7.5 (3),0.0 (0),30.0 (12),62.5 (25),40
robustness (gold 3),oracle -> +2 distractors,colqwen3,TLV,5.0 (2),12.5 (5),35.0 (14),47.5 (19),40
robustness (gold 3),oracle -> +2 distractors,colqwen3,V,2.5 (1),15.0 (6),27.5 (11),55.0 (22),40
robustness (gold 3),oracle -> +2 distractors,colqwen3,**All rungs**,5.0 (8),7.5 (12),28.7 (46),58.8 (94),160
robustness (gold 3),oracle -> +3 distractors,bm25,T,2.5 (1),10.0 (4),15.0 (6),72.5 (29),40
robustness (gold 3),oracle -> +3 distractors,bm25,TL,7.5 (3),7.5 (3),22.5 (9),62.5 (25),40
robustness (gold 3),oracle -> +3 distractors,bm25,TLV,10.0 (4),17.5 (7),30.0 (12),42.5 (17),40
robustness (gold 3),oracle -> +3 distractors,bm25,V,7.5 (3),12.5 (5),30.0 (12),50.0 (20),40
robustness (gold 3),oracle -> +3 distractors,bm25,**All rungs**,6.9 (11),11.9 (19),24.4 (39),56.9 (91),160
robustness (gold 3),oracle -> +3 distractors,colqwen3,T,5.0 (2),5.0 (2),20.0 (8),70.0 (28),40
robustness (gold 3),oracle -> +3 distractors,colqwen3,TL,5.0 (2),0.0 (0),30.0 (12),65.0 (26),40
robustness (gold 3),oracle -> +3 distractors,colqwen3,TLV,5.0 (2),12.5 (5),35.0 (14),47.5 (19),40
robustness (gold 3),oracle -> +3 distractors,colqwen3,V,7.5 (3),17.5 (7),25.0 (10),50.0 (20),40
robustness (gold 3),oracle -> +3 distractors,colqwen3,**All rungs**,5.6 (9),8.8 (14),27.5 (44),58.1 (93),160
n (per col),-,-,-,-,-,-,-,-
