# swept,"prompt_mode × evidence source × rung (answerable pool, oracle pages)"
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
prompt_mode,evidence_source,T,TL,TLV,V
grounded,Pure-text (Plain-text),37.8 [30.7-45.7] (n=291) a6.5 w55.7,45.0 [38.4-52.0] (n=291) a0.7 w54.3,51.2 [43.8-58.5] (n=291) a1.0 w47.8,41.6 [35.6-48.7] (n=291) a0.7 w57.7
grounded,Table,29.5 [23.3-35.5] (n=217) a10.1 w60.4,39.2 [31.9-46.2] (n=217) a1.4 w59.4,40.1 [33.3-47.3] (n=217) a0.9 w59.0,30.9 [24.5-36.6] (n=217) a0.0 w69.1
grounded,(none),42.1 [22.2-66.7] (n=19) a0.0 w57.9†,57.9 [33.3-81.8] (n=19) a0.0 w42.1†,52.6 [29.4-75.0] (n=19) a0.0 w47.4†,42.1 [19.0-62.5] (n=19) a0.0 w57.9†
grounded,**All sources**,26.8 [22.8-30.9] (n=847) a9.6 w63.6,34.4 [30.5-38.3] (n=847) a1.3 w64.3,45.7 [41.7-49.4] (n=847) a0.8 w53.5,39.9 [36.3-43.8] (n=847) a0.6 w59.5
abstain,Chart,13.5 [7.5-19.7] (n=178) a52.2 w34.3,12.4 [7.0-18.3] (n=178) a59.0 w28.7,28.7 [22.8-35.4] (n=178) a25.3 w46.1,26.4 [19.9-32.4] (n=178) a27.5 w46.1
abstain,Figure,7.2 [4.1-10.9] (n=290) a76.2 w16.6,14.1 [10.0-18.2] (n=290) a65.2 w20.7,34.5 [27.9-40.9] (n=290) a35.2 w30.3,31.0 [24.8-36.7] (n=290) a38.3 w30.7
abstain,Generalized-text (Layout),19.5 [11.3-28.2] (n=118) a55.9 w24.6,25.4 [17.4-33.3] (n=118) a44.1 w30.5,41.5 [32.1-50.9] (n=118) a19.5 w39.0,37.3 [28.0-47.0] (n=118) a25.4 w37.3
abstain,Pure-text (Plain-text),34.0 [27.4-41.7] (n=291) a41.9 w24.1,40.5 [34.8-47.2] (n=291) a35.4 w24.1,45.7 [39.1-53.1] (n=291) a23.7 w30.6,36.1 [29.6-43.7] (n=291) a30.9 w33.0
abstain,Table,26.3 [20.4-32.5] (n=217) a42.4 w31.3,38.2 [31.2-45.5] (n=217) a36.4 w25.3,39.2 [32.2-46.2] (n=217) a30.0 w30.9,26.7 [20.7-32.8] (n=217) a39.6 w33.6
abstain,(none),36.8 [17.6-62.5] (n=19) a36.8 w26.3†,52.6 [25.0-77.3] (n=19) a31.6 w15.8†,57.9 [30.0-81.8] (n=19) a26.3 w15.8†,42.1 [19.0-62.5] (n=19) a36.8 w21.1†
abstain,**All sources**,23.3 [19.3-27.2] (n=847) a52.2 w24.6,29.3 [25.4-33.1] (n=847) a47.1 w23.6,41.4 [37.3-45.4] (n=847) a27.4 w31.2,33.5 [29.9-37.1] (n=847) a32.5 w34.0
abstain_balanced,Chart,14.0 [8.4-20.2] (n=178) a44.9 w41.0,12.9 [7.4-18.6] (n=178) a51.7 w35.4,30.9 [24.5-38.2] (n=178) a18.5 w50.6,25.8 [19.7-32.1] (n=178) a24.2 w50.0
abstain_balanced,Figure,7.9 [4.5-12.3] (n=290) a71.7 w20.3,14.5 [10.1-18.9] (n=290) a62.1 w23.4,36.2 [29.7-42.3] (n=290) a31.0 w32.8,33.4 [27.0-39.6] (n=290) a33.1 w33.4
abstain_balanced,Generalized-text (Layout),19.5 [11.3-28.2] (n=118) a52.5 w28.0,28.8 [19.7-37.7] (n=118) a41.5 w29.7,41.5 [32.8-50.9] (n=118) a18.6 w39.8,39.0 [29.4-49.0] (n=118) a21.2 w39.8
abstain_balanced,Pure-text (Plain-text),33.7 [27.0-41.5] (n=291) a39.5 w26.8,39.5 [33.6-46.5] (n=291) a32.6 w27.8,47.4 [40.6-54.7] (n=291) a18.9 w33.7,36.4 [30.3-43.8] (n=291) a25.4 w38.1
abstain_balanced,Table,26.3 [20.4-32.5] (n=217) a37.8 w35.9,37.8 [30.8-44.2] (n=217) a30.0 w32.3,37.3 [30.5-44.3] (n=217) a25.3 w37.3,30.0 [23.7-36.2] (n=217) a34.6 w35.5
abstain_balanced,(none),42.1 [22.2-66.7] (n=19) a26.3 w31.6†,57.9 [33.3-81.8] (n=19) a31.6 w10.5†,63.2 [37.5-87.5] (n=19) a21.1 w15.8†,42.1 [19.0-62.5] (n=19) a31.6 w26.3†
abstain_balanced,**All sources**,23.8 [19.7-27.9] (n=847) a47.8 w28.3,30.0 [26.2-33.8] (n=847) a42.9 w27.2,42.6 [38.5-46.6] (n=847) a22.9 w34.5,35.2 [31.5-39.0] (n=847) a27.7 w37.1
cot,Chart,21.3 [14.8-27.6] (n=178) a3.9 w74.7,16.9 [11.4-22.9] (n=178) a13.5 w69.7,45.5 [37.7-53.9] (n=178) a1.1 w53.4,44.4 [35.9-52.7] (n=178) a1.1 w54.5
cot,Figure,11.7 [7.7-16.3] (n=290) a1.7 w86.6,18.3 [13.8-23.3] (n=290) a2.1 w79.7,45.2 [38.1-51.6] (n=290) a0.3 w54.5,44.8 [38.5-51.1] (n=290) a0.0 w55.2
cot,Generalized-text (Layout),24.6 [16.0-33.8] (n=118) a0.0 w75.4,37.3 [27.2-47.1] (n=118) a2.5 w60.2,50.0 [39.7-60.4] (n=118) a0.8 w49.2,55.9 [46.2-65.1] (n=118) a0.0 w44.1
cot,Pure-text (Plain-text),34.7 [28.3-42.0] (n=291) a4.1 w61.2,45.0 [38.5-52.7] (n=291) a3.1 w51.9,54.6 [48.1-61.8] (n=291) a1.0 w44.3,48.1 [41.4-54.7] (n=291) a0.7 w51.2
cot,Table,40.6 [33.5-47.2] (n=217) a3.2 w56.2,51.2 [44.6-57.7] (n=217) a2.8 w46.1,55.3 [48.6-61.8] (n=217) a2.3 w42.4,47.5 [40.1-55.1] (n=217) a0.0 w52.5
cot,(none),42.1 [21.1-62.5] (n=19) a10.5 w47.4†,57.9 [35.3-81.2] (n=19) a5.3 w36.8†,63.2 [41.2-85.0] (n=19) a5.3 w31.6†,52.6 [30.0-75.0] (n=19) a0.0 w47.4†
cot,**All sources**,29.5 [25.2-33.7] (n=847) a2.8 w67.7,36.0 [32.5-39.6] (n=847) a4.1 w59.9,53.1 [49.4-56.9] (n=847) a1.1 w45.8,49.7 [45.5-53.8] (n=847) a0.4 w49.9
extract_cot,Chart,13.5 [8.3-19.1] (n=178) a5.1 w81.5,17.4 [11.4-23.9] (n=178) a14.0 w68.5,39.3 [31.2-48.7] (n=178) a2.2 w58.4,38.8 [30.1-48.3] (n=178) a2.2 w59.0
extract_cot,Figure,10.7 [7.0-15.3] (n=290) a2.1 w87.2,21.0 [16.2-26.0] (n=290) a4.1 w74.8,44.1 [37.4-49.8] (n=290) a0.7 w55.2,41.7 [35.3-47.5] (n=290) a1.4 w56.9
extract_cot,Generalized-text (Layout),20.3 [12.6-29.3] (n=118) a1.7 w78.0,37.3 [27.8-47.4] (n=118) a3.4 w59.3,50.8 [41.7-59.7] (n=118) a0.8 w48.3,52.5 [44.1-61.1] (n=118) a1.7 w45.8
extract_cot,Pure-text (Plain-text),37.5 [30.4-45.2] (n=291) a1.4 w61.2,45.0 [38.6-52.1] (n=291) a3.4 w51.5,51.7 [45.2-58.6] (n=290) a2.4 w45.9,44.3 [37.8-52.1] (n=291) a3.1 w52.6
extract_cot,Table,41.5 [34.0-48.5] (n=217) a1.8 w56.7,49.8 [43.6-55.6] (n=217) a4.1 w46.1,52.5 [46.9-58.8] (n=217) a4.6 w42.9,39.6 [33.0-47.3] (n=217) a5.1 w55.3
extract_cot,(none),31.6 [12.5-50.0] (n=19) a5.3 w63.2†,52.6 [26.3-75.0] (n=19) a5.3 w42.1†,57.9 [31.6-83.3] (n=19) a10.5 w31.6†,42.1 [19.0-62.5] (n=19) a5.3 w52.6†
extract_cot,**All sources**,28.0 [23.6-32.3] (n=847) a2.4 w69.7,36.5 [32.9-40.2] (n=847) a5.7 w57.9,50.2 [46.4-54.1] (n=846) a2.0 w47.8,44.4 [40.4-48.5] (n=847) a2.4 w53.2
n (per col),-,-,-,-,-
