# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × evidence source
# dataset,mmlongbench
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,page_set rule (colqwen3 / bm25 ranking)
# prompt_mode,none
# pivot,"oracle cells loaded from g1-representation-full by the builder and paired per (question, rung)"
# pairing,"within-question, oracle and perturbed page set both status==ok; pooled over the four rungs"
# source blocks,"overlapping — a question citing Chart + Table is counted in both, so block n do not sum to the corpus; the All sources rows pool each question once"
# reading,"does a dropped gold page or an added distractor cost text-carried and graphical evidence alike, or land on one of them"
block,transition,ranker,evidence_source,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n,questions
sufficiency (hop=multi),oracle -> keep top 1,bm25,Generalized-text (Layout),2.9 (7),23.8 (57),8.8 (21),64.6 (155),240,60
sufficiency (hop=multi),oracle -> keep top 1,bm25,Pure-text (Plain-text),1.1 (6),27.3 (143),10.1 (53),61.5 (322),524,131
sufficiency (hop=multi),oracle -> keep top 1,bm25,Table,2.3 (10),22.7 (98),9.5 (41),65.5 (283),432,108
sufficiency (hop=multi),oracle -> keep top 1,bm25,**All sources**,2.0 (28),24.6 (347),7.8 (110),65.6 (923),1408,352
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,(none)†,0.0 (0),20.0 (4),0.0 (0),80.0 (16),20,5
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,Chart,1.6 (5),16.3 (51),7.1 (22),75.0 (234),312,78
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,Figure,1.8 (8),19.5 (89),7.5 (34),71.3 (325),456,114
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,Generalized-text (Layout),2.5 (6),23.8 (57),8.8 (21),65.0 (156),240,60
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,Pure-text (Plain-text),1.7 (9),27.1 (142),10.3 (54),60.9 (319),524,131
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,Table,3.7 (16),24.5 (106),7.6 (33),64.1 (277),432,108
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,**All sources**,2.3 (32),23.9 (337),8.5 (120),65.3 (919),1408,352
robustness (gold 1),oracle -> +1 distractor,bm25,(none)†,8.9 (5),3.6 (2),67.9 (38),19.6 (11),56,14
robustness (gold 1),oracle -> +1 distractor,bm25,Chart,5.2 (20),6.2 (24),32.5 (126),56.2 (218),388,97
robustness (gold 1),oracle -> +1 distractor,bm25,Figure,6.5 (42),4.6 (30),30.6 (198),58.3 (378),648,162
robustness (gold 1),oracle -> +1 distractor,bm25,Generalized-text (Layout),2.7 (6),9.4 (21),42.9 (96),45.1 (101),224,56
robustness (gold 1),oracle -> +1 distractor,bm25,Pure-text (Plain-text),7.2 (44),3.1 (19),53.4 (327),36.3 (222),612,153
robustness (gold 1),oracle -> +1 distractor,bm25,Table,5.0 (21),7.2 (30),51.9 (216),35.8 (149),416,104
robustness (gold 1),oracle -> +1 distractor,bm25,**All sources**,6.3 (119),4.9 (93),45.8 (869),43.0 (815),1896,474
robustness (gold 1),oracle -> +1 distractor,colqwen3,(none)†,8.9 (5),3.6 (2),67.9 (38),19.6 (11),56,14
robustness (gold 1),oracle -> +1 distractor,colqwen3,Chart,7.5 (29),7.5 (29),31.2 (121),53.9 (209),388,97
robustness (gold 1),oracle -> +1 distractor,colqwen3,Figure,8.0 (52),5.2 (34),29.9 (194),56.8 (368),648,162
robustness (gold 1),oracle -> +1 distractor,colqwen3,Generalized-text (Layout),4.0 (9),8.9 (20),43.3 (97),43.8 (98),224,56
robustness (gold 1),oracle -> +1 distractor,colqwen3,Pure-text (Plain-text),8.2 (50),6.5 (40),50.0 (306),35.3 (216),612,153
robustness (gold 1),oracle -> +1 distractor,colqwen3,Table,6.2 (26),7.0 (29),52.2 (217),34.6 (144),416,104
robustness (gold 1),oracle -> +1 distractor,colqwen3,**All sources**,7.8 (147),6.5 (124),44.2 (838),41.5 (787),1896,474
robustness (gold 1),oracle -> +2 distractors,bm25,(none)†,5.4 (3),1.8 (1),69.6 (39),23.2 (13),56,14
robustness (gold 1),oracle -> +2 distractors,bm25,Chart,5.7 (22),7.0 (27),31.7 (123),55.7 (216),388,97
robustness (gold 1),oracle -> +2 distractors,bm25,Figure,8.0 (52),5.6 (36),29.6 (192),56.8 (368),648,162
robustness (gold 1),oracle -> +2 distractors,bm25,Generalized-text (Layout),2.2 (5),9.4 (21),42.9 (96),45.5 (102),224,56
robustness (gold 1),oracle -> +2 distractors,bm25,Pure-text (Plain-text),6.7 (41),4.7 (29),51.8 (317),36.8 (225),612,153
robustness (gold 1),oracle -> +2 distractors,bm25,Table,6.5 (27),7.2 (30),51.9 (216),34.4 (143),416,104
robustness (gold 1),oracle -> +2 distractors,bm25,**All sources**,6.9 (130),6.2 (118),44.5 (844),42.4 (804),1896,474
robustness (gold 1),oracle -> +2 distractors,colqwen3,(none)†,7.1 (4),5.4 (3),66.1 (37),21.4 (12),56,14
robustness (gold 1),oracle -> +2 distractors,colqwen3,Chart,7.0 (27),7.7 (30),30.9 (120),54.4 (211),388,97
robustness (gold 1),oracle -> +2 distractors,colqwen3,Figure,9.6 (62),7.4 (48),27.8 (180),55.2 (358),648,162
robustness (gold 1),oracle -> +2 distractors,colqwen3,Generalized-text (Layout),3.6 (8),9.4 (21),42.9 (96),44.2 (99),224,56
robustness (gold 1),oracle -> +2 distractors,colqwen3,Pure-text (Plain-text),7.8 (48),5.9 (36),50.7 (310),35.6 (218),612,153
robustness (gold 1),oracle -> +2 distractors,colqwen3,Table,6.5 (27),5.8 (24),53.4 (222),34.4 (143),416,104
robustness (gold 1),oracle -> +2 distractors,colqwen3,**All sources**,8.1 (154),7.1 (134),43.7 (828),41.1 (780),1896,474
robustness (gold 1),oracle -> +3 distractors,bm25,(none)†,5.4 (3),3.6 (2),67.9 (38),23.2 (13),56,14
robustness (gold 1),oracle -> +3 distractors,bm25,Chart,8.2 (32),8.8 (34),29.9 (116),53.1 (206),388,97
robustness (gold 1),oracle -> +3 distractors,bm25,Figure,8.8 (57),6.2 (40),29.0 (188),56.0 (363),648,162
robustness (gold 1),oracle -> +3 distractors,bm25,Generalized-text (Layout),4.0 (9),10.7 (24),41.5 (93),43.8 (98),224,56
robustness (gold 1),oracle -> +3 distractors,bm25,Pure-text (Plain-text),7.8 (48),4.9 (30),51.6 (316),35.6 (218),612,153
robustness (gold 1),oracle -> +3 distractors,bm25,Table,6.5 (27),6.2 (26),52.9 (220),34.4 (143),416,104
robustness (gold 1),oracle -> +3 distractors,bm25,**All sources**,7.8 (147),6.6 (126),44.1 (836),41.5 (787),1896,474
robustness (gold 1),oracle -> +3 distractors,colqwen3,(none)†,5.4 (3),0.0 (0),71.4 (40),23.2 (13),56,14
robustness (gold 1),oracle -> +3 distractors,colqwen3,Chart,8.5 (33),11.1 (43),27.6 (107),52.8 (205),388,97
robustness (gold 1),oracle -> +3 distractors,colqwen3,Figure,10.5 (68),7.3 (47),27.9 (181),54.3 (352),648,162
robustness (gold 1),oracle -> +3 distractors,colqwen3,Generalized-text (Layout),4.0 (9),9.4 (21),42.9 (96),43.8 (98),224,56
robustness (gold 1),oracle -> +3 distractors,colqwen3,Pure-text (Plain-text),8.3 (51),6.2 (38),50.3 (308),35.1 (215),612,153
robustness (gold 1),oracle -> +3 distractors,colqwen3,Table,7.5 (31),7.5 (31),51.7 (215),33.4 (139),416,104
robustness (gold 1),oracle -> +3 distractors,colqwen3,**All sources**,8.8 (167),8.0 (152),42.7 (810),40.5 (767),1896,474
robustness (gold 1),oracle -> +4 distractors,colqwen3,(none)†,14.3 (1),0.0 (0),85.7 (6),0.0 (0),7,7
robustness (gold 1),oracle -> +4 distractors,colqwen3,Chart,8.4 (7),12.0 (10),53.0 (44),26.5 (22),83,83
robustness (gold 1),oracle -> +4 distractors,colqwen3,Figure,5.3 (7),9.8 (13),43.2 (57),41.7 (55),132,132
robustness (gold 1),oracle -> +4 distractors,colqwen3,Generalized-text (Layout),0.0 (0),10.2 (5),57.1 (28),32.7 (16),49,49
robustness (gold 1),oracle -> +4 distractors,colqwen3,Pure-text (Plain-text),6.9 (6),5.7 (5),62.1 (54),25.3 (22),87,87
robustness (gold 1),oracle -> +4 distractors,colqwen3,Table,5.7 (2),8.6 (3),68.6 (24),17.1 (6),35,35
robustness (gold 1),oracle -> +4 distractors,colqwen3,**All sources**,6.7 (21),9.6 (30),56.5 (177),27.2 (85),313,313
robustness (gold 1),oracle -> +5 distractors,colqwen3,(none)†,20.0 (1),0.0 (0),80.0 (4),0.0 (0),5,5
robustness (gold 1),oracle -> +5 distractors,colqwen3,Chart,6.8 (5),17.6 (13),45.9 (34),29.7 (22),74,74
robustness (gold 1),oracle -> +5 distractors,colqwen3,Figure,4.5 (5),9.8 (11),46.4 (52),39.3 (44),112,112
robustness (gold 1),oracle -> +5 distractors,colqwen3,Generalized-text (Layout),2.6 (1),12.8 (5),53.8 (21),30.8 (12),39,39
robustness (gold 1),oracle -> +5 distractors,colqwen3,Pure-text (Plain-text),7.5 (5),4.5 (3),62.7 (42),25.4 (17),67,67
robustness (gold 1),oracle -> +5 distractors,colqwen3,Table†,8.7 (2),0.0 (0),82.6 (19),8.7 (2),23,23
robustness (gold 1),oracle -> +5 distractors,colqwen3,**All sources**,7.0 (18),10.2 (26),56.2 (144),26.6 (68),256,256
robustness (gold 1),oracle -> +6 distractors,colqwen3,(none)†,0.0 (0),0.0 (0),100.0 (3),0.0 (0),3,3
robustness (gold 1),oracle -> +6 distractors,colqwen3,Chart,7.5 (4),20.8 (11),52.8 (28),18.9 (10),53,53
robustness (gold 1),oracle -> +6 distractors,colqwen3,Figure,7.9 (7),9.0 (8),48.3 (43),34.8 (31),89,89
robustness (gold 1),oracle -> +6 distractors,colqwen3,Generalized-text (Layout),2.8 (1),19.4 (7),50.0 (18),27.8 (10),36,36
robustness (gold 1),oracle -> +6 distractors,colqwen3,Pure-text (Plain-text),10.0 (5),6.0 (3),62.0 (31),22.0 (11),50,50
robustness (gold 1),oracle -> +6 distractors,colqwen3,Table†,0.0 (0),6.7 (1),80.0 (12),13.3 (2),15,15
robustness (gold 1),oracle -> +6 distractors,colqwen3,**All sources**,8.2 (16),12.2 (24),57.1 (112),22.4 (44),196,196
robustness (gold 2),oracle -> +1 distractor,bm25,(none)†,25.0 (4),0.0 (0),0.0 (0),75.0 (12),16,4
robustness (gold 2),oracle -> +1 distractor,bm25,Chart,7.8 (18),5.6 (13),21.6 (50),65.1 (151),232,58
robustness (gold 2),oracle -> +1 distractor,bm25,Figure,4.5 (12),5.3 (14),22.3 (59),67.8 (179),264,66
robustness (gold 2),oracle -> +1 distractor,bm25,Generalized-text (Layout),5.1 (7),5.9 (8),32.4 (44),56.6 (77),136,34
robustness (gold 2),oracle -> +1 distractor,bm25,Pure-text (Plain-text),6.2 (23),7.1 (26),31.8 (117),54.9 (202),368,92
robustness (gold 2),oracle -> +1 distractor,bm25,Table,8.6 (33),6.8 (26),25.0 (96),59.6 (229),384,96
robustness (gold 2),oracle -> +1 distractor,bm25,**All sources**,6.8 (66),7.0 (67),27.4 (264),58.8 (567),964,241
robustness (gold 2),oracle -> +1 distractor,colqwen3,(none)†,25.0 (4),0.0 (0),0.0 (0),75.0 (12),16,4
robustness (gold 2),oracle -> +1 distractor,colqwen3,Chart,6.9 (16),6.9 (16),20.3 (47),65.9 (153),232,58
robustness (gold 2),oracle -> +1 distractor,colqwen3,Figure,7.2 (19),5.7 (15),22.0 (58),65.2 (172),264,66
robustness (gold 2),oracle -> +1 distractor,colqwen3,Generalized-text (Layout),5.1 (7),6.6 (9),31.6 (43),56.6 (77),136,34
robustness (gold 2),oracle -> +1 distractor,colqwen3,Pure-text (Plain-text),4.1 (15),7.3 (27),31.5 (116),57.1 (210),368,92
robustness (gold 2),oracle -> +1 distractor,colqwen3,Table,6.5 (25),7.6 (29),24.2 (93),61.7 (237),384,96
robustness (gold 2),oracle -> +1 distractor,colqwen3,**All sources**,6.6 (64),7.8 (75),26.6 (256),59.0 (569),964,241
robustness (gold 2),oracle -> +2 distractors,bm25,(none)†,25.0 (4),0.0 (0),0.0 (0),75.0 (12),16,4
robustness (gold 2),oracle -> +2 distractors,bm25,Chart,7.8 (18),5.2 (12),22.0 (51),65.1 (151),232,58
robustness (gold 2),oracle -> +2 distractors,bm25,Figure,3.4 (9),4.9 (13),22.7 (60),68.9 (182),264,66
robustness (gold 2),oracle -> +2 distractors,bm25,Generalized-text (Layout),4.4 (6),8.8 (12),29.4 (40),57.4 (78),136,34
robustness (gold 2),oracle -> +2 distractors,bm25,Pure-text (Plain-text),5.4 (20),8.4 (31),30.4 (112),55.7 (205),368,92
robustness (gold 2),oracle -> +2 distractors,bm25,Table,8.3 (32),7.3 (28),24.5 (94),59.9 (230),384,96
robustness (gold 2),oracle -> +2 distractors,bm25,**All sources**,6.6 (64),7.5 (72),26.9 (259),59.0 (569),964,241
robustness (gold 2),oracle -> +2 distractors,colqwen3,(none)†,25.0 (4),0.0 (0),0.0 (0),75.0 (12),16,4
robustness (gold 2),oracle -> +2 distractors,colqwen3,Chart,6.9 (16),6.5 (15),20.7 (48),65.9 (153),232,58
robustness (gold 2),oracle -> +2 distractors,colqwen3,Figure,8.0 (21),7.6 (20),20.1 (53),64.4 (170),264,66
robustness (gold 2),oracle -> +2 distractors,colqwen3,Generalized-text (Layout),3.7 (5),14.0 (19),24.3 (33),58.1 (79),136,34
robustness (gold 2),oracle -> +2 distractors,colqwen3,Pure-text (Plain-text),4.9 (18),8.4 (31),30.4 (112),56.2 (207),368,92
robustness (gold 2),oracle -> +2 distractors,colqwen3,Table,4.9 (19),8.9 (34),22.9 (88),63.3 (243),384,96
robustness (gold 2),oracle -> +2 distractors,colqwen3,**All sources**,7.0 (67),9.5 (92),24.8 (239),58.7 (566),964,241
robustness (gold 2),oracle -> +3 distractors,bm25,(none)†,31.2 (5),0.0 (0),0.0 (0),68.8 (11),16,4
robustness (gold 2),oracle -> +3 distractors,bm25,Chart,7.3 (17),6.9 (16),20.3 (47),65.5 (152),232,58
robustness (gold 2),oracle -> +3 distractors,bm25,Figure,5.7 (15),5.7 (15),22.0 (58),66.7 (176),264,66
robustness (gold 2),oracle -> +3 distractors,bm25,Generalized-text (Layout),5.9 (8),7.4 (10),30.9 (42),55.9 (76),136,34
robustness (gold 2),oracle -> +3 distractors,bm25,Pure-text (Plain-text),6.8 (25),6.0 (22),32.9 (121),54.3 (200),368,92
robustness (gold 2),oracle -> +3 distractors,bm25,Table,6.0 (23),7.8 (30),24.0 (92),62.2 (239),384,96
robustness (gold 2),oracle -> +3 distractors,bm25,**All sources**,7.8 (75),7.8 (75),26.6 (256),57.9 (558),964,241
robustness (gold 2),oracle -> +3 distractors,colqwen3,(none)†,25.0 (4),0.0 (0),0.0 (0),75.0 (12),16,4
robustness (gold 2),oracle -> +3 distractors,colqwen3,Chart,5.2 (12),9.5 (22),17.7 (41),67.7 (157),232,58
robustness (gold 2),oracle -> +3 distractors,colqwen3,Figure,4.2 (11),8.3 (22),19.3 (51),68.2 (180),264,66
robustness (gold 2),oracle -> +3 distractors,colqwen3,Generalized-text (Layout),2.9 (4),14.0 (19),24.3 (33),58.8 (80),136,34
robustness (gold 2),oracle -> +3 distractors,colqwen3,Pure-text (Plain-text),4.6 (17),9.8 (36),29.1 (107),56.5 (208),368,92
robustness (gold 2),oracle -> +3 distractors,colqwen3,Table,4.4 (17),11.2 (43),20.6 (79),63.8 (245),384,96
robustness (gold 2),oracle -> +3 distractors,colqwen3,**All sources**,5.7 (55),10.9 (105),23.4 (226),60.0 (578),964,241
robustness (gold 2),oracle -> +4 distractors,colqwen3,(none)†,100.0 (1),0.0 (0),0.0 (0),0.0 (0),1,1
robustness (gold 2),oracle -> +4 distractors,colqwen3,Chart,19.4 (7),11.1 (4),25.0 (9),44.4 (16),36,36
robustness (gold 2),oracle -> +4 distractors,colqwen3,Figure,6.2 (3),6.2 (3),37.5 (18),50.0 (24),48,48
robustness (gold 2),oracle -> +4 distractors,colqwen3,Generalized-text (Layout)†,8.0 (2),24.0 (6),24.0 (6),44.0 (11),25,25
robustness (gold 2),oracle -> +4 distractors,colqwen3,Pure-text (Plain-text),10.9 (5),17.4 (8),32.6 (15),39.1 (18),46,46
robustness (gold 2),oracle -> +4 distractors,colqwen3,Table†,5.3 (1),15.8 (3),31.6 (6),47.4 (9),19,19
robustness (gold 2),oracle -> +4 distractors,colqwen3,**All sources**,12.0 (14),12.0 (14),32.5 (38),43.6 (51),117,117
robustness (gold 2),oracle -> +5 distractors,colqwen3,Chart†,20.0 (5),20.0 (5),24.0 (6),36.0 (9),25,25
robustness (gold 2),oracle -> +5 distractors,colqwen3,Figure,0.0 (0),4.9 (2),43.9 (18),51.2 (21),41,41
robustness (gold 2),oracle -> +5 distractors,colqwen3,Generalized-text (Layout)†,0.0 (0),15.8 (3),31.6 (6),52.6 (10),19,19
robustness (gold 2),oracle -> +5 distractors,colqwen3,Pure-text (Plain-text),9.4 (3),15.6 (5),40.6 (13),34.4 (11),32,32
robustness (gold 2),oracle -> +5 distractors,colqwen3,Table†,10.0 (1),0.0 (0),60.0 (6),30.0 (3),10,10
robustness (gold 2),oracle -> +5 distractors,colqwen3,**All sources**,8.4 (7),10.8 (9),37.3 (31),43.4 (36),83,83
robustness (gold 3),oracle -> +1 distractor,bm25,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +1 distractor,bm25,Figure†,7.9 (6),2.6 (2),28.9 (22),60.5 (46),76,19
robustness (gold 3),oracle -> +1 distractor,bm25,Generalized-text (Layout)†,5.0 (1),5.0 (1),50.0 (10),40.0 (8),20,5
robustness (gold 3),oracle -> +1 distractor,bm25,Pure-text (Plain-text)†,5.9 (4),10.3 (7),26.5 (18),57.4 (39),68,17
robustness (gold 3),oracle -> +1 distractor,bm25,Table†,3.6 (1),14.3 (4),32.1 (9),50.0 (14),28,7
robustness (gold 3),oracle -> +1 distractor,bm25,**All sources**,6.2 (10),6.2 (10),30.0 (48),57.5 (92),160,40
robustness (gold 3),oracle -> +1 distractor,colqwen3,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +1 distractor,colqwen3,Figure†,9.2 (7),7.9 (6),23.7 (18),59.2 (45),76,19
robustness (gold 3),oracle -> +1 distractor,colqwen3,Generalized-text (Layout)†,10.0 (2),5.0 (1),50.0 (10),35.0 (7),20,5
robustness (gold 3),oracle -> +1 distractor,colqwen3,Pure-text (Plain-text)†,8.8 (6),7.4 (5),29.4 (20),54.4 (37),68,17
robustness (gold 3),oracle -> +1 distractor,colqwen3,Table†,7.1 (2),14.3 (4),32.1 (9),46.4 (13),28,7
robustness (gold 3),oracle -> +1 distractor,colqwen3,**All sources**,8.1 (13),7.5 (12),28.7 (46),55.6 (89),160,40
robustness (gold 3),oracle -> +2 distractors,bm25,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +2 distractors,bm25,Figure†,13.2 (10),3.9 (3),27.6 (21),55.3 (42),76,19
robustness (gold 3),oracle -> +2 distractors,bm25,Generalized-text (Layout)†,10.0 (2),5.0 (1),50.0 (10),35.0 (7),20,5
robustness (gold 3),oracle -> +2 distractors,bm25,Pure-text (Plain-text)†,10.3 (7),10.3 (7),26.5 (18),52.9 (36),68,17
robustness (gold 3),oracle -> +2 distractors,bm25,Table†,3.6 (1),25.0 (7),21.4 (6),50.0 (14),28,7
robustness (gold 3),oracle -> +2 distractors,bm25,**All sources**,10.0 (16),9.4 (15),26.9 (43),53.8 (86),160,40
robustness (gold 3),oracle -> +2 distractors,colqwen3,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +2 distractors,colqwen3,Figure†,6.6 (5),10.5 (8),21.1 (16),61.8 (47),76,19
robustness (gold 3),oracle -> +2 distractors,colqwen3,Generalized-text (Layout)†,5.0 (1),10.0 (2),45.0 (9),40.0 (8),20,5
robustness (gold 3),oracle -> +2 distractors,colqwen3,Pure-text (Plain-text)†,2.9 (2),2.9 (2),33.8 (23),60.3 (41),68,17
robustness (gold 3),oracle -> +2 distractors,colqwen3,Table†,7.1 (2),7.1 (2),39.3 (11),46.4 (13),28,7
robustness (gold 3),oracle -> +2 distractors,colqwen3,**All sources**,5.0 (8),7.5 (12),28.7 (46),58.8 (94),160,40
robustness (gold 3),oracle -> +3 distractors,bm25,Chart†,0.0 (0),0.0 (0),33.3 (4),66.7 (8),12,3
robustness (gold 3),oracle -> +3 distractors,bm25,Figure†,9.2 (7),7.9 (6),23.7 (18),59.2 (45),76,19
