# swept,retriever x k (page P/R/F1)
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,doc_type,P,R,F1,n
colqwen2.5,vision,5,Locating,0.241,0.751,0.348,695
colqwen2.5,vision,5,Reasoning,0.266,0.774,0.374,384
colqwen2.5,vision,5,Understanding,0.246,0.798,0.360,1238
colqwen2.5,vision,6,Locating,0.209,0.773,0.315,695
colqwen2.5,vision,6,Reasoning,0.233,0.797,0.341,384
colqwen2.5,vision,6,Understanding,0.211,0.816,0.322,1238
colqwen2.5,vision,7,Locating,0.185,0.789,0.287,695
colqwen2.5,vision,7,Reasoning,0.208,0.817,0.314,384
colqwen2.5,vision,7,Understanding,0.186,0.829,0.292,1238
colqwen2.5,vision,8,Locating,0.167,0.806,0.266,695
colqwen2.5,vision,8,Reasoning,0.186,0.826,0.288,384
colqwen2.5,vision,8,Understanding,0.168,0.843,0.268,1238
colqwen2.5,vision,9,Locating,0.152,0.819,0.247,695
colqwen2.5,vision,9,Reasoning,0.169,0.839,0.268,384
colqwen2.5,vision,9,Understanding,0.150,0.850,0.246,1238
colqwen2.5,vision,10,Locating,0.140,0.834,0.231,695
colqwen2.5,vision,10,Reasoning,0.157,0.854,0.252,384
colqwen2.5,vision,10,Understanding,0.138,0.861,0.230,1238
colqwen3,vision,1,Locating,0.659,0.478,0.531,695
colqwen3,vision,1,Reasoning,0.742,0.519,0.583,384
colqwen3,vision,1,Understanding,0.771,0.574,0.634,1238
colqwen3,vision,2,Locating,0.501,0.662,0.541,695
colqwen3,vision,2,Reasoning,0.521,0.658,0.549,384
colqwen3,vision,2,Understanding,0.508,0.706,0.566,1238
colqwen3,vision,3,Locating,0.380,0.719,0.472,695
colqwen3,vision,3,Reasoning,0.402,0.731,0.488,384
colqwen3,vision,3,Understanding,0.377,0.765,0.484,1238
colqwen3,vision,4,Locating,0.316,0.777,0.427,695
colqwen3,vision,4,Reasoning,0.330,0.771,0.434,384
colqwen3,vision,4,Understanding,0.301,0.799,0.420,1238
colqwen3,vision,5,Locating,0.262,0.798,0.376,695
colqwen3,vision,5,Reasoning,0.281,0.803,0.392,384
colqwen3,vision,5,Understanding,0.251,0.820,0.369,1238
colqwen3,vision,6,Locating,0.227,0.824,0.340,695
colqwen3,vision,6,Reasoning,0.244,0.823,0.355,384
colqwen3,vision,6,Understanding,0.217,0.840,0.332,1238
colqwen3,vision,7,Locating,0.199,0.837,0.309,695
colqwen3,vision,7,Reasoning,0.218,0.840,0.326,384
colqwen3,vision,7,Understanding,0.190,0.853,0.300,1238
colqwen3,vision,8,Locating,0.179,0.853,0.284,695
colqwen3,vision,8,Reasoning,0.198,0.857,0.303,384
colqwen3,vision,8,Understanding,0.170,0.862,0.274,1238
colqwen3,vision,9,Locating,0.162,0.864,0.263,695
colqwen3,vision,9,Reasoning,0.183,0.877,0.286,384
colqwen3,vision,9,Understanding,0.154,0.871,0.253,1238
colqwen3,vision,10,Locating,0.148,0.875,0.245,695
colqwen3,vision,10,Reasoning,0.169,0.893,0.269,384
colqwen3,vision,10,Understanding,0.141,0.880,0.235,1238
qwen3-embedding,text,1,Locating,0.388,0.244,0.286,695
qwen3-embedding,text,1,Reasoning,0.500,0.350,0.395,384
qwen3-embedding,text,1,Understanding,0.542,0.392,0.438,1238
qwen3-embedding,text,2,Locating,0.304,0.370,0.316,695
qwen3-embedding,text,2,Reasoning,0.374,0.499,0.407,384
qwen3-embedding,text,2,Understanding,0.380,0.525,0.423,1238
qwen3-embedding,text,3,Locating,0.269,0.485,0.328,695
qwen3-embedding,text,3,Reasoning,0.297,0.569,0.371,384
qwen3-embedding,text,3,Understanding,0.296,0.599,0.380,1238
qwen3-embedding,text,4,Locating,0.230,0.547,0.308,695
qwen3-embedding,text,4,Reasoning,0.243,0.607,0.330,384
qwen3-embedding,text,4,Understanding,0.243,0.648,0.340,1238
qwen3-embedding,text,5,Locating,0.200,0.590,0.285,695
qwen3-embedding,text,5,Reasoning,0.207,0.630,0.297,384
qwen3-embedding,text,5,Understanding,0.209,0.686,0.308,1238
qwen3-embedding,text,6,Locating,0.180,0.635,0.268,695
qwen3-embedding,text,6,Reasoning,0.186,0.661,0.276,384
qwen3-embedding,text,6,Understanding,0.182,0.710,0.280,1238
qwen3-embedding,text,7,Locating,0.162,0.668,0.251,695
qwen3-embedding,text,7,Reasoning,0.169,0.686,0.258,384
qwen3-embedding,text,7,Understanding,0.163,0.734,0.257,1238
qwen3-embedding,text,8,Locating,0.146,0.688,0.233,695
qwen3-embedding,text,8,Reasoning,0.154,0.705,0.241,384
qwen3-embedding,text,8,Understanding,0.147,0.754,0.238,1238
qwen3-embedding,text,9,Locating,0.133,0.705,0.217,695
qwen3-embedding,text,9,Reasoning,0.141,0.719,0.226,384
qwen3-embedding,text,9,Understanding,0.134,0.764,0.220,1238
qwen3-embedding,text,10,Locating,0.125,0.730,0.206,695
qwen3-embedding,text,10,Reasoning,0.132,0.732,0.213,384
qwen3-embedding,text,10,Understanding,0.123,0.776,0.206,1238
qwen3-embedding|colqwen3,joint,1,Locating,0.524,0.525,0.481,695
qwen3-embedding|colqwen3,joint,1,Reasoning,0.621,0.572,0.565,384
qwen3-embedding|colqwen3,joint,1,Understanding,0.657,0.623,0.602,1238
qwen3-embedding|colqwen3,joint,3,Locating,0.283,0.755,0.386,695
qwen3-embedding|colqwen3,joint,3,Reasoning,0.305,0.770,0.413,384
qwen3-embedding|colqwen3,joint,3,Understanding,0.289,0.800,0.404,1238
qwen3-embedding|colqwen3,joint,5,Locating,0.191,0.833,0.295,695
qwen3-embedding|colqwen3,joint,5,Reasoning,0.208,0.838,0.317,384
qwen3-embedding|colqwen3,joint,5,Understanding,0.188,0.851,0.296,1238
n (per col),-,-,-,-,-,-,-
