# swept,page_set transition (oracle → each sufficiency rule / +k distractors) × ranking source × rung
# dataset,longdocurl
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# prompt_mode,none
# attrition,"OOM attrition is NESTED, not random: at TLV the questions that OOM at d=5 are a strict superset of those at d=4, and so on down. A cell at high distractor count is therefore the surviving lightest questions, so compare down a column only on the matched question set, never on the raw per-cell accuracy"
# pairing,"within-question, oracle and perturbed page set both status==ok at that rung"
# reading,the four cells partition each row and sum to 100; ldu_selection_withholding is the same pairing cut by evidence source
block,transition,ranker,rung,wrong→right (%),right→wrong (%),right→right (%),wrong→wrong (%),paired n
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,TL,2.3 (26),38.1 (437),24.3 (279),35.3 (405),1147
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,TLV,2.0 (22),43.2 (472),26.1 (285),28.7 (314),1093
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,V,2.9 (35),40.0 (483),22.0 (266),35.2 (425),1209
sufficiency (hop=multi),oracle -> drop top 1,colqwen3,**All rungs**,2.5 (114),39.4 (1830),24.5 (1138),33.7 (1567),4649
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,T,2.7 (32),39.6 (475),22.6 (271),35.2 (422),1200
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,TL,2.4 (27),39.4 (452),23.0 (264),35.2 (404),1147
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,TLV,2.2 (24),45.8 (501),23.4 (256),28.5 (312),1093
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,V,3.1 (38),42.1 (509),19.9 (240),34.9 (422),1209
sufficiency (hop=multi),oracle -> keep bottom 1,bm25,**All rungs**,2.6 (121),41.7 (1937),22.2 (1031),33.6 (1560),4649
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,T,2.6 (31),40.2 (482),22.0 (264),35.2 (423),1200
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,TL,2.4 (28),41.5 (476),20.9 (240),35.1 (403),1147
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,TLV,1.8 (20),46.5 (508),22.8 (249),28.9 (316),1093
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,V,2.8 (34),44.0 (532),17.9 (217),35.2 (426),1209
sufficiency (hop=multi),oracle -> keep bottom 1,colqwen3,**All rungs**,2.4 (113),43.0 (1998),20.9 (970),33.7 (1568),4649
sufficiency (hop=multi),oracle -> keep top 1,bm25,T,3.5 (42),21.7 (260),40.5 (486),34.3 (412),1200
sufficiency (hop=multi),oracle -> keep top 1,bm25,TL,3.1 (35),20.5 (235),41.9 (481),34.5 (396),1147
sufficiency (hop=multi),oracle -> keep top 1,bm25,TLV,3.6 (39),24.3 (266),44.9 (491),27.2 (297),1093
sufficiency (hop=multi),oracle -> keep top 1,bm25,V,4.0 (48),23.4 (283),38.5 (466),34.1 (412),1209
sufficiency (hop=multi),oracle -> keep top 1,bm25,**All rungs**,3.5 (164),22.5 (1044),41.4 (1924),32.6 (1517),4649
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,T,3.2 (39),20.3 (244),41.8 (502),34.6 (415),1200
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,TL,3.3 (38),17.8 (204),44.6 (512),34.3 (393),1147
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,TLV,3.5 (38),22.2 (243),47.0 (514),27.3 (298),1093
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,V,4.3 (52),20.9 (253),41.0 (496),33.7 (408),1209
sufficiency (hop=multi),oracle -> keep top 1,colqwen3,**All rungs**,3.6 (167),20.3 (944),43.5 (2024),32.6 (1514),4649
robustness (gold 1),oracle -> +1 distractor,colqwen3,T,7.5 (82),7.8 (85),57.9 (629),26.8 (291),1087
robustness (gold 1),oracle -> +1 distractor,colqwen3,TL,6.7 (69),8.7 (89),65.7 (675),19.0 (195),1028
robustness (gold 1),oracle -> +1 distractor,colqwen3,TLV,8.1 (80),8.5 (84),66.3 (655),17.1 (169),988
robustness (gold 1),oracle -> +1 distractor,colqwen3,V,8.3 (91),9.8 (107),54.7 (598),27.2 (297),1093
robustness (gold 1),oracle -> +1 distractor,colqwen3,**All rungs**,7.7 (322),8.7 (365),60.9 (2557),22.7 (952),4196
robustness (gold 1),oracle -> +2 distractors,colqwen3,T,8.3 (89),9.2 (99),56.8 (610),25.7 (276),1074
robustness (gold 1),oracle -> +2 distractors,colqwen3,TL,6.5 (60),12.2 (113),62.2 (577),19.1 (177),927
robustness (gold 1),oracle -> +2 distractors,colqwen3,TLV,7.5 (63),9.3 (78),64.4 (538),18.7 (156),835
robustness (gold 1),oracle -> +2 distractors,colqwen3,V,10.2 (112),10.9 (119),53.6 (586),25.3 (276),1093
robustness (gold 1),oracle -> +2 distractors,colqwen3,**All rungs**,8.2 (324),10.4 (409),58.8 (2311),22.5 (885),3929
robustness (gold 1),oracle -> +3 distractors,colqwen3,T,9.0 (95),10.4 (110),55.6 (589),25.1 (266),1060
robustness (gold 1),oracle -> +3 distractors,colqwen3,TL,6.5 (54),12.6 (104),61.4 (508),19.5 (161),827
robustness (gold 1),oracle -> +3 distractors,colqwen3,TLV,6.9 (47),11.7 (80),61.5 (419),19.8 (135),681
robustness (gold 1),oracle -> +3 distractors,colqwen3,V,10.0 (109),12.4 (135),52.2 (570),25.5 (279),1093
robustness (gold 1),oracle -> +3 distractors,colqwen3,**All rungs**,8.3 (305),11.7 (429),57.0 (2086),23.0 (841),3661
robustness (gold 1),oracle -> +4 distractors,colqwen3,T,8.6 (89),10.9 (113),54.9 (571),25.7 (267),1040
robustness (gold 1),oracle -> +4 distractors,colqwen3,TL,7.5 (54),12.9 (93),60.5 (435),19.1 (137),719
robustness (gold 1),oracle -> +4 distractors,colqwen3,TLV,8.7 (44),10.5 (53),63.5 (322),17.4 (88),507
robustness (gold 1),oracle -> +4 distractors,colqwen3,V,9.8 (107),11.8 (129),52.7 (576),25.7 (281),1093
robustness (gold 1),oracle -> +4 distractors,colqwen3,**All rungs**,8.8 (294),11.6 (388),56.7 (1904),23.0 (773),3359
robustness (gold 1),oracle -> +5 distractors,colqwen3,T,9.9 (99),10.3 (103),54.8 (550),25.1 (252),1004
robustness (gold 1),oracle -> +5 distractors,colqwen3,TL,7.5 (47),11.2 (70),61.5 (384),19.7 (123),624
robustness (gold 1),oracle -> +5 distractors,colqwen3,TLV,7.3 (25),11.4 (39),62.9 (215),18.4 (63),342
robustness (gold 1),oracle -> +5 distractors,colqwen3,V,9.1 (100),12.9 (141),51.6 (564),26.3 (288),1093
robustness (gold 1),oracle -> +5 distractors,colqwen3,**All rungs**,8.8 (271),11.5 (353),55.9 (1713),23.7 (726),3063
robustness (gold 2),oracle -> +1 distractor,colqwen3,T,4.7 (42),8.4 (75),54.0 (483),32.9 (294),894
robustness (gold 2),oracle -> +1 distractor,colqwen3,TL,6.1 (50),6.8 (56),57.0 (470),30.2 (249),825
robustness (gold 2),oracle -> +1 distractor,colqwen3,TLV,4.1 (32),9.6 (75),62.1 (484),24.1 (188),779
robustness (gold 2),oracle -> +1 distractor,colqwen3,V,5.8 (53),9.4 (85),52.1 (472),32.7 (296),906
robustness (gold 2),oracle -> +1 distractor,colqwen3,**All rungs**,5.2 (177),8.5 (291),56.1 (1909),30.2 (1027),3404
robustness (gold 2),oracle -> +2 distractors,colqwen3,T,6.3 (56),9.6 (85),52.6 (465),31.4 (278),884
robustness (gold 2),oracle -> +2 distractors,colqwen3,TL,7.3 (57),9.3 (73),54.9 (429),28.4 (222),781
robustness (gold 2),oracle -> +2 distractors,colqwen3,TLV,4.4 (30),10.9 (74),62.0 (421),22.7 (154),679
robustness (gold 2),oracle -> +2 distractors,colqwen3,V,6.4 (58),10.5 (95),51.0 (462),32.1 (291),906
robustness (gold 2),oracle -> +2 distractors,colqwen3,**All rungs**,6.2 (201),10.1 (327),54.7 (1777),29.1 (945),3250
robustness (gold 2),oracle -> +3 distractors,colqwen3,T,6.9 (60),10.7 (93),51.2 (444),31.1 (270),867
robustness (gold 2),oracle -> +3 distractors,colqwen3,TL,7.3 (52),9.6 (69),56.0 (401),27.1 (194),716
robustness (gold 2),oracle -> +3 distractors,colqwen3,TLV,6.0 (35),9.7 (56),64.8 (375),19.5 (113),579
robustness (gold 2),oracle -> +3 distractors,colqwen3,V,7.6 (69),11.3 (102),50.2 (455),30.9 (280),906
robustness (gold 2),oracle -> +3 distractors,colqwen3,**All rungs**,7.0 (216),10.4 (320),54.6 (1675),27.9 (857),3068
robustness (gold 2),oracle -> +4 distractors,colqwen3,T,7.1 (60),10.7 (90),50.7 (427),31.6 (266),843
robustness (gold 2),oracle -> +4 distractors,colqwen3,TL,7.1 (47),10.7 (71),56.1 (371),26.0 (172),661
robustness (gold 2),oracle -> +4 distractors,colqwen3,TLV,6.1 (28),13.3 (61),62.2 (285),18.3 (84),458
robustness (gold 2),oracle -> +4 distractors,colqwen3,V,6.4 (58),10.8 (98),50.7 (459),32.1 (291),906
robustness (gold 2),oracle -> +4 distractors,colqwen3,**All rungs**,6.7 (193),11.2 (320),53.8 (1542),28.3 (813),2868
n (per col),-,-,-,-,-,-,-,-
